epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.251,1.21549,2.05738,1.04124,0.9311,0.9007,0.92096,0.56223,1.079,1.08452,0.93159,0.00331522,0.00331522,0.00331522
2,205.277,1.131,1.01234,0.96815,0.93159,0.89203,0.92878,0.60349,1.0688,0.76355,0.94756,0.00661564,0.00661564,0.00661564
3,304.793,1.16849,0.83801,0.99516,0.86432,0.80897,0.86669,0.53994,1.1818,1.16342,1.0504,0.00988306,0.00988306,0.00988306
4,397.889,1.16678,0.76408,1.02398,0.91635,0.8649,0.91066,0.56379,1.2151,0.98451,1.04246,0.0098515,0.0098515,0.0098515
5,498.96,1.09572,0.68552,1.00606,0.93108,0.86538,0.9153,0.61529,1.02837,0.69428,0.9825,0.009802,0.009802,0.009802
6,592.022,1.0607,0.63651,0.99735,0.92301,0.88531,0.92086,0.61753,1.04084,0.61913,0.98587,0.0097525,0.0097525,0.0097525
7,691.365,1.0259,0.61546,0.98562,0.90366,0.90519,0.93738,0.67233,0.94255,0.56551,0.94492,0.009703,0.009703,0.009703
8,784.215,1.01116,0.5978,0.98496,0.9182,0.89166,0.92855,0.63733,0.97833,0.60872,0.97191,0.0096535,0.0096535,0.0096535
9,885.264,0.99155,0.5843,0.9729,0.93074,0.90961,0.94705,0.66971,0.94223,0.5514,0.94572,0.009604,0.009604,0.009604
10,978.424,0.97981,0.57059,0.97341,0.93446,0.89958,0.94202,0.66812,0.9149,0.55017,0.94507,0.0095545,0.0095545,0.0095545
11,1081.07,0.96461,0.55793,0.96279,0.92701,0.92008,0.94895,0.70379,0.86513,0.49999,0.92869,0.009505,0.009505,0.009505
12,1174.33,0.95659,0.55211,0.96774,0.94283,0.91189,0.95107,0.695,0.9112,0.50604,0.93168,0.0094555,0.0094555,0.0094555
13,1277.37,0.9456,0.54691,0.95501,0.93317,0.90225,0.94938,0.69551,0.87162,0.51935,0.92647,0.009406,0.009406,0.009406
14,1367.35,0.93657,0.54339,0.95197,0.93258,0.9214,0.95303,0.71233,0.85094,0.48123,0.91911,0.0093565,0.0093565,0.0093565
15,1467.5,0.9352,0.53424,0.9515,0.94066,0.92755,0.95772,0.71001,0.85257,0.46781,0.92387,0.009307,0.009307,0.009307
16,1563.47,0.92381,0.5323,0.95527,0.94931,0.91676,0.95964,0.72013,0.83945,0.47073,0.92004,0.0092575,0.0092575,0.0092575
17,1657.77,0.91519,0.51803,0.94739,0.94742,0.91804,0.95358,0.72107,0.81914,0.45287,0.91154,0.009208,0.009208,0.009208
18,1765.35,0.91355,0.51645,0.95063,0.94316,0.92923,0.96411,0.72904,0.80207,0.43868,0.91472,0.0091585,0.0091585,0.0091585
19,1856.52,0.89988,0.50975,0.94332,0.94497,0.92056,0.96141,0.72571,0.82664,0.44305,0.91505,0.009109,0.009109,0.009109
20,1963.03,0.90772,0.51469,0.94326,0.93424,0.91799,0.95493,0.72198,0.83005,0.45522,0.92405,0.0090595,0.0090595,0.0090595
21,2055.61,0.90161,0.50899,0.94736,0.93846,0.91711,0.95726,0.72234,0.8194,0.45336,0.91367,0.00901,0.00901,0.00901
22,2157.88,0.89448,0.50707,0.93989,0.95442,0.92546,0.96554,0.7427,0.79372,0.43053,0.90529,0.0089605,0.0089605,0.0089605
23,2251.57,0.88696,0.50239,0.93679,0.95118,0.91553,0.96069,0.72911,0.81789,0.4355,0.90993,0.008911,0.008911,0.008911
24,2353.38,0.89802,0.50497,0.94372,0.94401,0.9291,0.96477,0.73783,0.78841,0.42603,0.90808,0.0088615,0.0088615,0.0088615
25,2446.31,0.88597,0.50312,0.93796,0.94375,0.9293,0.96321,0.74203,0.81657,0.42207,0.91318,0.008812,0.008812,0.008812
26,2548.15,0.87718,0.49493,0.93492,0.94625,0.9258,0.96348,0.74217,0.78264,0.41631,0.90715,0.0087625,0.0087625,0.0087625
27,2640.1,0.87993,0.49203,0.93745,0.93723,0.93141,0.96474,0.74414,0.79058,0.42702,0.90227,0.008713,0.008713,0.008713
28,2740.17,0.88141,0.49289,0.93469,0.9558,0.93153,0.97277,0.76012,0.76428,0.40564,0.89441,0.0086635,0.0086635,0.0086635
29,2828.79,0.87101,0.4854,0.93098,0.95122,0.93035,0.96987,0.75875,0.76301,0.4022,0.89771,0.008614,0.008614,0.008614
30,2932.84,0.87587,0.49131,0.93355,0.94857,0.93388,0.96914,0.74994,0.7726,0.40478,0.89854,0.0085645,0.0085645,0.0085645
31,3026.89,0.86999,0.4835,0.93182,0.95563,0.92783,0.96686,0.74597,0.79048,0.41914,0.89091,0.008515,0.008515,0.008515
32,3126.04,0.86387,0.4877,0.92924,0.95856,0.93175,0.97307,0.76376,0.75075,0.40303,0.89314,0.0084655,0.0084655,0.0084655
33,3228.3,0.86227,0.47954,0.92877,0.9526,0.93319,0.97247,0.76477,0.75208,0.38927,0.89073,0.008416,0.008416,0.008416
34,3322.16,0.85765,0.47802,0.92481,0.95593,0.92979,0.96844,0.7604,0.75477,0.40225,0.88569,0.0083665,0.0083665,0.0083665
